City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Kyzyl-Suu,KG,42.3414,78.0056,49.69,73,70,2.73,broken clouds
226,Port-Gentil,GA,-0.7193,8.7815,80.2,87,100,11.27,light rain
227,Manokwari,ID,-0.8667,134.0833,82.6,71,97,9.71,overcast clouds
228,Quang Ngai,VN,15.1167,108.8,80.22,86,100,1.66,overcast clouds
229,Portland,US,45.5234,-122.6762,69.75,68,0,7.0,clear sky
230,Ardakan,IR,32.31,54.0175,70.72,13,0,5.35,clear sky
231,Oranjemund,NA,-28.55,16.4333,71.65,25,0,14.05,clear sky
232,Labrea,BR,-7.2586,-64.7981,75.13,97,100,1.1,light rain
233,Raudeberg,NO,61.9875,5.1352,41.86,88,21,15.21,few clouds
234,Katsuura,JP,35.1333,140.3,59.88,95,100,4.9,light rain
235,Mana,GF,5.6592,-53.7767,78.01,92,100,8.1,light rain
236,Moyale,KE,3.5167,39.0584,62.76,93,100,3.87,overcast clouds
237,Roald,NO,62.5833,6.1333,43.75,75,6,12.66,clear sky
238,Westport,US,41.1415,-73.3579,70.12,90,42,7.29,scattered clouds
239,Dillon,US,34.4166,-79.3712,79.05,73,100,7.18,overcast clouds
240,Ribeira Grande,PT,38.5167,-28.7,58.66,80,13,41.94,few clouds
241,Buala,SB,-8.145,159.5921,85.05,67,6,1.07,clear sky
242,Saint-Ambroise,CA,48.5501,-71.3324,57.74,95,100,9.4,overcast clouds
243,Kochinda,IN,21.7333,84.35,84.24,69,94,6.02,overcast clouds
244,Barentu,ER,15.1139,37.5928,79.86,29,0,6.13,clear sky
245,Dunedin,NZ,-45.8742,170.5036,56.8,65,0,5.01,clear sky
246,Dikson,RU,73.5069,80.5464,34.59,93,100,15.12,overcast clouds
247,Yalta,UA,44.5,34.1667,57.4,69,56,9.44,broken clouds
248,Horsham,GB,51.064,-0.3272,59.25,91,95,1.14,haze
249,Kautokeino,NO,69.0125,23.0412,33.44,88,100,18.59,light snow
250,Upata,VE,8.0086,-62.3989,77.2,87,100,5.37,overcast clouds
251,Mareeba,AU,-17.0,145.4333,80.65,65,0,0.58,clear sky
252,Nemuro,JP,43.3236,145.575,48.16,72,2,15.75,clear sky
253,Boshnyakovo,RU,49.6333,142.1667,41.81,81,39,11.79,scattered clouds
254,Shingu,JP,33.7333,135.9833,58.93,85,100,2.98,light rain
255,Eenhana,NA,-17.4667,16.3333,62.87,41,5,7.83,clear sky
256,Erzin,TR,36.9559,36.2,59.36,90,9,2.62,clear sky
257,Batagay,RU,67.6333,134.6333,28.11,73,100,5.26,overcast clouds
258,East London,ZA,-33.0153,27.9116,61.48,84,0,7.31,clear sky
259,Lithakia,GR,37.7167,20.8333,58.37,81,0,0.98,clear sky
260,Cockburn Town,TC,21.4612,-71.1419,79.02,83,100,19.8,overcast clouds
261,Shubarshi,KZ,48.5872,57.1869,56.61,73,51,8.61,broken clouds
262,Vigrestad,NO,58.5667,5.7,48.58,86,12,8.5,few clouds
263,Saldanha,ZA,-33.0117,17.9442,57.25,46,0,8.68,clear sky
264,Viedma,AR,-40.8135,-62.9967,52.27,74,100,19.01,overcast clouds
265,Port Hardy,CA,50.6996,-127.4199,48.38,93,100,3.44,light rain
266,Balkhash,KZ,46.844,74.9804,63.3,52,25,7.43,scattered clouds
267,Faya,SA,18.3851,42.4509,62.71,12,3,6.33,clear sky
268,Campos Belos,BR,-13.0367,-46.7717,72.77,56,12,2.48,few clouds
269,Sibolga,ID,1.7427,98.7792,76.95,91,100,3.04,light rain
270,Luena,AO,-11.7833,19.9167,55.09,65,0,5.01,clear sky
271,Mahebourg,MU,-20.4081,57.7,73.69,88,40,11.5,scattered clouds
272,Helena,US,46.5927,-112.0361,72.59,34,0,11.5,clear sky
273,Ust-Nera,RU,64.5667,143.2,35.91,98,100,5.84,overcast clouds
274,The Pas,CA,53.8251,-101.2541,39.22,75,100,14.97,overcast clouds
275,Pacific Grove,US,36.6177,-121.9166,71.87,83,75,10.36,broken clouds
276,Kilimatinde,TZ,-5.85,34.95,61.02,92,4,2.75,clear sky
277,Cayenne,GF,4.9333,-52.3333,81.09,1,100,5.01,moderate rain
278,Ipueiras,BR,-7.0333,-40.45,72.01,73,99,4.07,overcast clouds
279,Gamba,GA,-2.65,10.0,77.25,93,100,5.06,overcast clouds
280,Beringovskiy,RU,63.05,179.3167,35.96,86,95,5.12,overcast clouds
281,Saint-Pierre,RE,-21.3393,55.4781,70.92,73,75,6.91,broken clouds
282,Havelock,US,34.8791,-76.9013,75.18,88,66,3.0,broken clouds
283,Nuuk,GL,64.1835,-51.7216,29.88,58,0,11.01,clear sky
284,Mangrol,IN,21.1167,70.1167,82.38,79,0,12.06,clear sky
285,Manitouwadge,CA,49.1215,-85.8403,49.42,68,13,7.02,few clouds
286,Bose,IT,45.4612,8.0137,64.22,85,94,4.27,overcast clouds
287,Sambava,MG,-14.2667,50.1667,70.81,79,1,9.04,clear sky
288,Hattiesburg,US,31.3271,-89.2903,87.73,60,0,4.61,clear sky
289,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.04,86,32,13.71,scattered clouds
290,Rumonge,BI,-3.9736,29.4386,70.14,86,93,5.5,light rain
291,The Valley,AI,18.217,-63.0578,80.46,77,46,22.24,scattered clouds
292,Tokur,RU,53.1333,132.9,35.73,63,100,5.37,overcast clouds
293,Lasa,IT,46.6166,10.7002,57.36,91,93,1.92,overcast clouds
294,Superior,US,46.7208,-92.1041,68.47,29,100,17.27,overcast clouds
295,Den Helder,NL,52.9599,4.7593,60.03,79,100,14.0,overcast clouds
296,Bonthe,SL,7.5264,-12.505,81.09,87,100,5.17,overcast clouds
297,Ulaangom,MN,49.9811,92.0667,63.91,18,100,2.39,overcast clouds
298,Sitka,US,57.0531,-135.33,48.42,77,100,5.84,overcast clouds
299,Santiago Del Estero,AR,-27.7951,-64.2615,56.59,45,100,5.35,overcast clouds
300,Troy,US,42.6056,-83.1499,72.84,77,0,0.0,clear sky
301,Hasaki,JP,35.7333,140.8333,57.6,92,100,16.78,light rain
302,Cianorte,BR,-23.6633,-52.605,59.02,95,54,8.99,broken clouds
303,San Patricio,US,28.017,-97.5169,86.18,69,0,14.97,clear sky
304,Ambovombe,MG,-25.1667,46.0833,67.28,84,0,11.54,clear sky
305,Sabratah,LY,32.7933,12.4885,78.03,27,5,8.68,clear sky
306,Kavieng,PG,-2.5744,150.7967,84.11,65,100,1.99,overcast clouds
307,Inhambane,MZ,-23.865,35.3833,70.18,80,73,9.42,light rain
308,Tucurui,BR,-3.7661,-49.6725,75.87,94,100,2.19,overcast clouds
309,Xiuyan,CN,40.2928,123.2744,64.92,42,77,3.69,broken clouds
310,Cidreira,BR,-30.1811,-50.2056,59.99,82,98,14.63,overcast clouds
311,Colac,AU,-38.3333,143.5833,54.18,82,100,10.38,overcast clouds
312,Saint-Gaudens,FR,43.0833,0.6667,58.03,86,100,3.38,overcast clouds
313,Altamirano,MX,16.8833,-92.15,60.94,71,49,0.65,scattered clouds
314,Samarai,PG,-10.6167,150.6667,82.81,69,1,5.32,clear sky
315,Marawi,PH,7.9986,124.2928,78.6,73,98,0.31,overcast clouds
316,Sao Sebastiao,BR,-23.76,-45.4097,70.11,89,33,4.79,scattered clouds
317,Tessalit,ML,20.1986,1.0114,87.58,14,5,6.91,clear sky
318,Nioro,GM,13.35,-15.75,78.49,61,8,9.22,clear sky
319,Kayerkan,RU,69.3497,87.7602,37.87,91,100,6.44,overcast clouds
320,Cody,US,44.5263,-109.0565,70.59,29,43,3.0,scattered clouds
321,Leningradskiy,RU,69.3833,178.4167,26.91,76,100,3.67,overcast clouds
322,Port Macquarie,AU,-31.4333,152.9167,74.89,77,100,8.23,overcast clouds
323,Abu Dhabi,AE,24.4667,54.3667,82.51,68,0,6.91,clear sky
324,Mayo,US,38.8876,-76.5119,71.19,93,40,5.75,moderate rain
325,Urdoma,RU,61.7533,48.5442,46.18,95,100,3.02,overcast clouds
326,Mnogovershinnyy,RU,53.9353,139.9242,35.11,97,100,6.4,light snow
327,Mahibadhoo,MV,3.7833,72.9667,83.44,78,100,19.55,overcast clouds
328,Huarmey,PE,-10.0681,-78.1522,65.32,81,81,8.75,broken clouds
329,Gavle,SE,60.6745,17.1417,41.38,46,0,1.99,clear sky
330,Lodeynoye Pole,RU,60.726,33.5531,42.71,93,100,4.05,overcast clouds
331,Plock,PL,52.5468,19.7064,43.56,83,62,4.9,broken clouds
332,Talcahuano,CL,-36.7167,-73.1167,53.28,76,0,4.61,clear sky
333,Acari,PE,-15.4311,-74.6158,67.68,71,15,3.13,few clouds
334,Cherepanovo,RU,54.2222,83.381,57.83,75,99,7.07,overcast clouds
335,Yumen,CN,40.2833,97.2,58.44,9,5,10.54,clear sky
336,Meulaboh,ID,4.1363,96.1285,77.68,88,100,3.91,overcast clouds
337,Coffs Harbour,AU,-30.3,153.1333,73.13,88,75,5.75,light intensity shower rain
338,Puerto Madryn,AR,-42.7692,-65.0385,49.24,72,26,10.69,scattered clouds
339,Banjar,ID,-8.19,114.9675,84.58,60,8,2.77,clear sky
340,Arman,RU,59.7,150.1667,41.02,86,100,15.68,overcast clouds
341,Lavrentiya,RU,65.5833,-171.0,31.78,76,62,10.69,broken clouds
342,Kahului,US,20.8947,-156.47,81.84,73,65,15.01,broken clouds
343,Bodden Town,KY,19.2833,-81.25,81.0,75,40,8.05,scattered clouds
344,Golden,US,39.7555,-105.2211,75.42,30,75,5.99,broken clouds
345,Belen,TR,36.4891,36.2233,55.6,94,15,7.07,few clouds
346,Pangnirtung,CA,66.1451,-65.7125,16.2,91,49,4.63,scattered clouds
347,Bengkulu,ID,-3.8004,102.2655,77.34,91,82,3.67,broken clouds
348,La Grande,US,45.3246,-118.0877,63.99,79,100,3.69,overcast clouds
349,Bay City,US,43.5945,-83.8889,73.51,40,0,8.05,clear sky
350,Bosobolo,CD,4.1833,19.9,70.45,91,68,2.3,light rain
351,Jalu,LY,29.0331,21.5482,70.92,34,0,9.71,clear sky
352,Aswan,EG,24.0934,32.907,85.3,14,100,12.66,overcast clouds
353,Saint Anthony,US,45.0205,-93.218,71.2,34,40,12.66,scattered clouds
354,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,2.3,overcast clouds
355,Ohafia,NG,5.6167,7.8333,73.69,97,100,2.77,overcast clouds
356,Hami,CN,42.8,93.45,69.8,6,98,11.79,overcast clouds
357,Nanakuli,US,21.3906,-158.1547,80.04,69,100,8.05,light intensity drizzle
358,Orlik,RU,52.5178,99.825,57.47,27,12,2.59,few clouds
359,Kavaratti,IN,10.5669,72.642,79.92,84,100,14.58,overcast clouds
360,Lagoa,PT,39.05,-27.9833,58.1,80,1,51.09,clear sky
361,Esperance,AU,-33.8667,121.9,53.44,74,100,4.47,overcast clouds
362,Srednekolymsk,RU,67.45,153.6833,32.97,97,100,13.33,overcast clouds
363,Emerald,AU,-23.5333,148.1667,79.34,69,0,9.66,clear sky
364,Progreso,MX,21.2833,-89.6667,81.1,79,0,11.32,clear sky
365,Mao,ES,39.8885,4.2658,63.16,88,0,5.75,clear sky
366,Axim,GH,4.8699,-2.2405,78.82,88,86,3.38,light rain
367,Touros,BR,-5.1989,-35.4608,77.25,89,79,8.1,broken clouds
368,Port Blair,IN,11.6667,92.75,83.75,77,95,7.07,overcast clouds
369,Hukuntsi,BW,-24.0,21.75,63.91,33,77,10.27,broken clouds
370,Kieta,PG,-6.2167,155.6333,84.54,69,30,4.56,light rain
371,Palasbari,IN,26.1361,91.5486,77.05,94,100,0.0,moderate rain
372,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,60,75,14.97,broken clouds
373,Sturgis,US,41.7992,-85.4192,65.3,59,100,4.61,overcast clouds
374,Norilsk,RU,69.3535,88.2027,38.53,92,100,9.01,overcast clouds
375,Jian,CN,27.1172,114.9793,62.22,81,100,7.31,overcast clouds
376,Altukhovo,RU,52.67,34.36,40.26,91,7,7.54,clear sky
377,Sisimiut,GL,66.9395,-53.6735,26.78,66,2,9.46,clear sky
378,Oltedal,NO,58.831,6.0466,48.18,92,8,2.57,clear sky
379,Noumea,NC,-22.2763,166.4572,80.58,99,35,12.03,scattered clouds
380,Bayangol,RU,50.6977,103.4656,62.06,24,12,2.71,few clouds
381,Ban Phai,TH,16.06,102.731,77.22,76,100,5.17,overcast clouds
382,Katangli,RU,51.7102,143.2326,33.19,100,100,4.68,light snow
383,Boundiali,CI,9.5217,-6.4869,77.31,71,83,4.52,broken clouds
384,Dongsheng,CN,39.8161,109.9776,58.39,12,0,19.08,clear sky
385,Oksfjord,NO,70.2396,22.3479,37.0,99,100,11.7,light rain
386,Brunswick,US,41.2381,-81.8418,70.66,59,100,4.27,overcast clouds
387,Sibu,MY,2.3,111.8167,75.51,100,40,5.01,light rain
388,Marsa Matruh,EG,31.3525,27.2453,64.6,82,20,5.75,few clouds
389,Gladstone,AU,-23.85,151.25,77.79,78,100,5.75,overcast clouds
390,Naryan-Mar,RU,67.6713,53.087,34.92,92,100,11.95,overcast clouds
391,Croy,CH,46.6946,6.4772,63.25,84,94,3.36,overcast clouds
392,Bilibino,RU,68.0546,166.4372,32.97,93,94,4.14,overcast clouds
393,Oktyabrskiy,RU,54.4815,53.471,49.44,94,100,6.8,overcast clouds
394,Yalova,TR,40.655,29.2769,58.14,73,49,2.28,scattered clouds
395,Rancho Palos Verdes,US,33.7445,-118.387,84.42,67,1,8.01,clear sky
396,Tonantins,BR,-2.8731,-67.8022,74.79,99,100,0.83,overcast clouds
397,Hambantota,LK,6.1241,81.1185,79.14,100,75,6.91,broken clouds
398,Prabumulih,ID,-3.45,104.25,79.93,83,99,3.51,overcast clouds
399,Yarmouth,US,41.7057,-70.2286,60.66,96,100,5.75,mist
400,Paka,MY,4.6374,103.4368,78.73,94,40,2.3,thunderstorm with light rain
401,Khasan,RU,42.4308,130.6434,56.93,59,65,7.27,broken clouds
402,Lang Son,VN,21.8333,106.7333,61.48,82,100,9.13,overcast clouds
403,Arvika,SE,59.6553,12.5852,48.81,51,100,5.64,overcast clouds
404,Labuhan,ID,-6.8844,112.2051,81.7,80,85,5.66,overcast clouds
405,Keti Bandar,PK,24.1447,67.4497,81.86,82,0,19.66,clear sky
406,Baykit,RU,61.67,96.37,62.65,40,65,1.9,broken clouds
407,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,93,100,15.66,moderate rain
408,Sabirabad,AZ,40.0095,48.4752,64.06,56,98,8.23,overcast clouds
409,Aykhal,RU,66.0,111.5,36.91,92,100,3.09,overcast clouds
410,Sapulpa,US,35.9987,-96.1142,77.68,71,75,9.22,broken clouds
411,Santa Maria,BR,-29.6842,-53.8069,56.5,82,75,8.05,broken clouds
412,Nushki,PK,29.5542,66.0215,64.56,24,0,1.43,clear sky
413,Zambezi,ZM,-13.5432,23.1047,53.87,61,0,5.86,clear sky
414,Varhaug,NO,58.6147,5.6457,48.47,86,10,8.05,clear sky
415,Nome,US,64.5011,-165.4064,36.3,98,93,5.73,overcast clouds
416,San Jose Iturbide,MX,21.0,-100.3833,77.59,29,1,16.87,clear sky
417,La Serena,CL,-29.9078,-71.2542,56.71,82,100,2.3,overcast clouds
418,Willmar,US,45.1219,-95.0433,69.75,32,0,14.97,clear sky
419,Richards Bay,ZA,-28.783,32.0377,64.58,87,44,2.39,scattered clouds
420,Vangaindrano,MG,-23.35,47.6,66.7,89,85,2.48,moderate rain
421,Uirauna,BR,-6.5183,-38.4122,74.17,80,97,3.91,overcast clouds
422,Westlock,CA,54.1502,-113.8688,65.1,40,30,9.33,scattered clouds
423,Tabou,CI,4.423,-7.3528,78.64,88,100,6.8,light rain
424,Goderich,CA,43.7501,-81.7165,62.92,72,100,5.75,overcast clouds
425,Harrison,US,30.4091,-89.0436,80.62,78,100,11.5,overcast clouds
426,Barcelona,ES,41.3888,2.159,68.54,55,20,3.44,few clouds
427,Chumikan,RU,54.7183,135.315,43.34,60,94,12.68,overcast clouds
428,Necochea,AR,-38.5473,-58.7368,53.24,76,100,25.14,overcast clouds
429,Chapais,CA,49.7834,-74.8492,56.98,93,100,6.89,overcast clouds
430,Payakumbuh,ID,-0.2202,100.6308,74.64,92,56,2.28,light rain
431,Placido De Castro,BR,-10.3353,-67.1856,75.38,89,100,2.33,overcast clouds
432,Barinas,VE,8.6226,-70.2075,93.24,52,100,3.44,overcast clouds
433,Krasnoselkup,RU,65.7,82.4667,50.68,97,100,3.69,moderate rain
434,Bahia Blanca,AR,-38.7196,-62.2724,50.27,82,66,15.32,broken clouds
435,Misratah,LY,32.3754,15.0925,71.28,49,0,11.41,clear sky
436,Komsomolskiy,UZ,40.4272,71.7189,57.92,88,1,0.0,mist
437,Hellin,ES,38.5106,-1.701,65.73,61,65,3.22,broken clouds
438,Tanout,NE,14.9709,8.8879,78.89,18,5,13.18,clear sky
439,Waitati,NZ,-45.75,170.5667,56.8,65,0,6.29,clear sky
440,Dingle,PH,10.9995,122.6711,84.52,69,99,1.77,overcast clouds
441,Shasta Lake,US,40.6804,-122.3708,86.95,29,100,9.51,overcast clouds
442,Saint-Augustin,CA,51.226,-58.6502,39.04,60,73,5.73,broken clouds
443,Kota Belud,MY,6.351,116.4305,85.78,66,24,2.15,few clouds
444,Vallenar,CL,-28.5708,-70.7581,58.93,58,0,2.8,clear sky
445,Tevaitoa,PF,-16.7833,-151.5,80.44,72,20,8.95,few clouds
446,Fuyang,CN,32.9,115.8167,72.52,35,15,13.62,few clouds
447,Mudgal,IN,16.0167,76.4333,79.68,65,100,13.96,overcast clouds
448,Kidal,ML,18.4411,1.4078,89.38,26,12,8.37,few clouds
449,Zhanaozen,KZ,43.3,52.8,63.39,47,66,5.77,broken clouds
450,Kallaste,EE,58.655,27.1592,41.23,76,87,16.6,overcast clouds
